iter	Passed	Remaining
216	320	1157
217	322	1156
218	324	1155
219	325	1153
220	326	1150
221	327	1149
222	329	1146
223	330	1144
224	331	1141
225	333	1140
226	334	1138
227	335	1135
228	336	1133
229	338	1132
230	339	1129
231	340	1127
232	341	1124
233	343	1122
234	344	1121
235	345	1119
236	346	1116
237	348	1114
238	349	1112
239	350	1110
240	352	1108
241	353	1107
242	354	1104
243	355	1102
244	356	1100
245	358	1097
246	359	1096
247	361	1095
248	362	1093
249	364	1092
250	365	1090
251	367	1089
252	368	1088
253	370	1086
254	371	1085
255	372	1083
256	374	1081
257	375	1080
258	376	1078
259	378	1075
260	379	1074
261	380	1072
262	381	1069
263	383	1068
264	384	1067
265	386	1065
266	387	1064
267	388	1062
268	390	1060
269	391	1058
270	392	1056
271	393	1054
272	395	1052
273	396	1051
274	397	1049
275	399	1047
276	400	1045
277	401	1043
278	402	1041
279	404	1039
280	405	1037
281	406	1036
282	408	1034
283	409	1032
284	410	1030
285	412	1030
286	413	1028
287	415	1026
288	416	1025
289	418	1024
290	419	1022
291	421	1020
292	422	1019
293	423	1018
294	425	1017
295	427	1016
296	428	1015
297	430	1013
298	431	1012
299	433	1010
300	434	1009
301	435	1007
302	437	1006
303	438	1004
304	440	1003
305	441	1001
306	443	1000
307	444	999
308	446	997
309	447	996
310	449	995
311	450	993
312	451	991
313	453	991
314	455	990
315	456	988
316	458	987
317	459	986
318	461	984
319	462	982
320	464	981
321	465	980
322	467	979
323	468	978
324	470	976
325	471	975
326	472	973
327	474	972
328	476	970
329	477	969
330	478	967
331	480	966
332	481	965
333	483	964
334	485	963
335	486	962
336	488	961
337	490	960
338	491	959
339	493	957
340	494	955
341	496	954
342	497	953
343	498	951
344	500	950
345	502	949
346	503	947
347	504	945
348	506	944
349	507	942
350	508	940
351	509	938
352	511	937
353	512	936
354	514	934
355	515	932
356	517	931
357	518	930
358	520	929
359	521	927
360	523	926
361	524	924
362	526	923
363	528	922
364	529	920
365	530	919
366	532	918
367	534	917
368	535	915
369	537	914
370	538	913
371	540	911
372	541	910
373	542	908
374	544	906
375	545	905
376	547	904
377	549	903
378	550	902
379	552	900
380	553	899
381	555	897
382	556	896
383	557	895
384	559	893
385	560	892
386	562	890
387	563	889
388	565	887
389	566	886
390	568	885
391	570	884
392	571	882
393	572	880
394	573	879
395	575	877
396	576	875
397	577	873
398	579	872
399	580	871
400	582	869
401	583	867
402	584	866
403	586	864
404	587	863
405	588	861
406	590	860
407	591	858
408	592	856
409	594	855
410	595	853
411	596	851
412	598	850
413	599	848
414	600	846
415	601	844
416	602	843
417	604	841
418	605	839
419	606	837
420	607	835
421	608	833
422	610	832
423	611	830
424	612	828
425	613	827
426	615	825
427	616	823
428	617	822
429	619	820
430	620	818
431	621	817
432	622	815
433	623	813
434	624	811
435	626	810
436	627	808
437	628	806
438	630	805
439	631	803
440	633	802
441	634	800
442	635	799
443	637	797
444	638	796
445	639	794
446	640	792
447	642	791
448	643	789
449	644	787
450	645	785
451	646	784
452	648	782
453	649	780
454	650	779
455	651	777
456	653	776
457	654	774
458	656	773
459	657	771
460	658	770
461	660	768
462	661	766
463	662	765
464	663	763
465	664	761
466	666	760
467	667	758
468	668	756
469	669	755
470	670	753
471	672	751
472	673	750
473	674	748
474	675	746
475	677	745
476	678	743
477	679	741
478	680	740
479	681	738
480	682	736
481	684	735
482	685	733
483	686	732
484	687	730
485	688	728
486	690	727
487	691	725
488	692	724
489	694	722
490	695	721
491	696	719
492	697	717
493	699	716
494	700	714
495	701	712
496	702	711
497	703	709
498	705	707
499	706	706
500	707	704
501	708	703
502	710	701
503	711	700
504	712	698
505	713	696
506	714	695
507	716	694
508	718	692
509	719	691
510	721	690
511	723	689
512	724	687
513	725	686
514	727	685
515	728	683
516	730	682
517	731	680
518	732	679
519	734	677
520	735	676
521	736	674
522	738	673
523	739	671
524	741	670
525	742	669
526	744	668
527	746	667
528	747	665
529	749	664
530	751	663
531	752	662
532	754	661
533	756	660
534	758	659
535	760	658
536	761	656
537	763	655
538	764	654
539	766	652
540	768	651
541	770	650
542	771	649
543	773	648
544	774	646
545	776	645
546	778	644
547	779	643
548	781	642
549	783	640
550	785	640
551	787	639
552	789	638
553	791	637
554	793	636
555	795	635
556	797	634
557	798	632
558	800	631
559	802	630
560	804	629
561	805	628
562	807	626
563	809	625
564	810	624
565	812	623
566	814	621
567	815	620
568	817	619
569	819	617
570	820	616
571	822	615
572	824	614
573	825	612
574	826	610
575	827	609
576	828	607
577	829	605
578	831	604
579	833	603
580	834	602
581	836	600
582	837	599
583	838	597
584	839	595
585	841	594
586	842	592
587	843	591
588	844	589
589	846	587
590	847	586
591	848	584
592	849	583
593	851	581
594	852	580
595	853	578
596	854	576
597	855	575
598	856	573
599	858	572
600	859	570
601	860	568
602	861	567
603	862	565
604	863	564
605	865	562
606	866	561
607	868	559
608	869	558
609	870	556
610	871	555
611	873	553
612	874	552
613	875	550
614	876	548
615	877	547
616	879	545
617	880	544
618	881	542
619	882	540
620	884	539
621	885	538
622	887	536
623	888	535
624	889	533
625	890	532
626	891	530
627	893	529
628	894	527
629	895	526
630	897	524
631	898	522
632	899	521
633	900	519
634	901	518
635	903	516
636	904	515
637	905	513
638	906	512
639	908	510
640	909	509
641	910	507
642	911	506
643	913	504
644	914	503
645	915	501
646	916	500
647	917	498
648	918	496
649	920	495
650	921	493
651	922	492
652	923	490
653	924	489
654	926	487
655	927	486
656	928	484
657	930	483
658	931	482
659	933	480
660	934	479
661	935	477
662	936	476
663	937	474
664	938	473
665	940	471
666	941	470
667	943	468
668	944	467
669	945	465
670	946	464
671	948	462
672	949	461
673	950	459
674	951	458
675	952	456
676	954	455
677	955	453
678	956	452
679	958	450
680	959	449
681	960	447
682	961	446
683	963	445
684	964	443
685	965	442
686	966	440
687	968	439
688	969	437
689	970	436
690	971	434
691	973	433
692	974	431
693	975	430
694	977	428
695	978	427
696	979	425
697	981	424
698	982	423
699	983	421
700	985	420
701	986	418
702	987	417
703	988	415
704	990	414
705	991	412
706	992	411
707	994	410
708	995	408
709	996	407
710	997	405
711	999	404
712	1000	402
713	1001	401
714	1002	399
715	1003	398
716	1005	396
717	1006	395
718	1007	393
719	1008	392
720	1009	390
721	1010	389
722	1011	387
723	1013	386
724	1014	384
725	1015	383
726	1016	381
727	1018	380
728	1019	379
729	1021	377
730	1022	376
731	1023	374
732	1025	373
733	1026	372
734	1027	370
735	1029	369
736	1030	367
737	1031	366
738	1032	364
739	1034	363
740	1035	361
741	1036	360
742	1037	358
743	1039	357
744	1040	356
745	1041	354
746	1042	353
747	1043	351
748	1045	350
749	1046	348
750	1047	347
751	1048	345
752	1049	344
753	1051	343
754	1052	341
755	1054	340
756	1055	338
757	1056	337
758	1057	335
759	1058	334
760	1060	332
761	1061	331
762	1062	330
763	1063	328
764	1065	327
765	1066	325
766	1067	324
767	1069	323
768	1070	321
769	1071	320
770	1073	318
771	1074	317
772	1075	315
773	1076	314
774	1077	312
775	1078	311
776	1080	310
777	1081	308
778	1082	307
779	1083	305
780	1085	304
781	1086	302
782	1088	301
783	1089	300
784	1090	298
785	1091	297
786	1092	295
787	1093	294
788	1095	292
789	1096	291
790	1097	290
791	1098	288
792	1100	287
793	1101	285
794	1102	284
795	1104	282
796	1105	281
797	1106	280
798	1108	278
799	1109	277
800	1110	275
801	1111	274
802	1113	273
803	1114	271
804	1115	270
805	1117	268
806	1118	267
807	1119	266
808	1121	264
809	1122	263
810	1123	261
811	1125	260
812	1126	259
813	1127	257
814	1128	256
815	1130	254
816	1131	253
817	1133	252
818	1134	250
819	1136	249
820	1137	247
821	1138	246
822	1139	245
823	1140	243
824	1142	242
825	1143	240
826	1144	239
827	1145	237
828	1146	236
829	1148	235
830	1149	233
831	1150	232
832	1152	230
833	1153	229
834	1154	228
835	1156	226
836	1157	225
837	1158	224
838	1160	222
839	1161	221
840	1162	219
841	1163	218
842	1165	217
843	1166	215
844	1167	214
845	1168	212
846	1169	211
847	1171	209
848	1172	208
849	1173	207
850	1174	205
851	1176	204
852	1177	202
853	1178	201
854	1179	200
855	1181	198
856	1182	197
857	1183	195
858	1184	194
859	1186	193
860	1187	191
861	1189	190
862	1190	188
863	1191	187
864	1193	186
865	1194	184
866	1196	183
867	1197	182
868	1198	180
869	1200	179
870	1201	177
871	1202	176
872	1203	175
873	1205	173
874	1206	172
875	1207	170
876	1209	169
877	1210	168
878	1211	166
879	1212	165
880	1213	163
881	1215	162
882	1216	161
883	1217	159
884	1219	158
885	1220	157
886	1222	155
887	1223	154
888	1224	152
889	1226	151
890	1227	150
891	1228	148
892	1229	147
893	1231	145
894	1232	144
895	1233	143
896	1234	141
897	1235	140
898	1236	138
899	1237	137
900	1239	136
901	1240	134
902	1241	133
903	1242	131
904	1243	130
905	1245	129
906	1246	127
907	1247	126
908	1248	124
909	1249	123
910	1250	122
911	1252	120
912	1253	119
913	1255	118
914	1256	116
915	1257	115
916	1259	113
917	1260	112
918	1261	111
919	1263	109
920	1264	108
921	1266	107
922	1267	105
923	1268	104
924	1269	102
925	1270	101
926	1271	100
927	1273	98
928	1274	97
929	1275	96
930	1277	94
931	1278	93
932	1279	91
933	1280	90
934	1282	89
935	1283	87
936	1285	86
937	1286	85
938	1288	83
939	1290	82
940	1291	80
941	1293	79
942	1294	78
943	1295	76
944	1297	75
945	1298	74
946	1300	72
947	1301	71
948	1303	70
949	1304	68
950	1305	67
951	1307	65
952	1308	64
953	1310	63
954	1311	61
955	1313	60
956	1314	59
957	1316	57
958	1317	56
959	1319	54
960	1320	53
961	1322	52
962	1323	50
963	1325	49
964	1326	48
965	1328	46
966	1330	45
967	1331	44
968	1332	42
969	1334	41
970	1335	39
971	1337	38
972	1338	37
973	1340	35
974	1342	34
975	1343	33
976	1345	31
977	1346	30
978	1347	28
979	1349	27
980	1350	26
981	1352	24
982	1353	23
983	1355	22
984	1356	20
985	1358	19
986	1359	17
987	1361	16
988	1362	15
989	1364	13
990	1366	12
991	1367	11
992	1368	9
993	1370	8
994	1371	6
995	1372	5
996	1374	4
997	1375	2
998	1377	1
999	1378	0
