iter	Logloss
0	0.6893201727
1	0.6855005866
2	0.6811988186
3	0.6778375427
4	0.6738221099
5	0.6701550586
6	0.6666280822
7	0.6626459772
8	0.6590154309
9	0.6546092577
10	0.6502050418
11	0.6465909642
12	0.6432741775
13	0.638924134
14	0.6346395951
15	0.6312264553
16	0.6277198136
17	0.6241323059
18	0.6203526525
19	0.6171150645
20	0.6134614839
21	0.609553425
22	0.6054307522
23	0.6018344546
24	0.5981563448
25	0.5952139997
26	0.5910267145
27	0.5882191184
28	0.584262402
29	0.581185661
30	0.5772439166
31	0.5746025743
32	0.5716348313
33	0.5684228507
34	0.5648112752
35	0.5617985857
36	0.5597950681
37	0.5568547608
38	0.5541303681
39	0.5515172748
40	0.5490576724
41	0.5464485581
42	0.5432669204
43	0.5399153522
44	0.5361532085
45	0.5327090186
46	0.5303913734
47	0.5277577932
48	0.5252747722
49	0.5226022707
50	0.5209397568
51	0.5182896093
52	0.5163553739
53	0.5142888996
54	0.5123322422
55	0.51022613
56	0.5078907711
57	0.5057047021
58	0.5025668101
59	0.500619409
60	0.4989699076
61	0.4972509151
62	0.4945009965
63	0.4926251596
64	0.4902960747
65	0.4882284816
66	0.4863292302
67	0.4841551061
68	0.4821137147
69	0.4795350717
70	0.4777127802
71	0.4751954602
72	0.4729676087
73	0.4711166088
74	0.4683777247
75	0.4663543141
76	0.4646055078
77	0.4624746839
78	0.4602078082
79	0.4587510742
80	0.456775959
81	0.4541189839
82	0.4525096963
83	0.4502843814
84	0.448780185
85	0.4468770421
86	0.4451276436
87	0.4434541862
88	0.4415042033
89	0.4401704656
90	0.4377924072
91	0.436102069
92	0.4348660027
93	0.4330035662
94	0.4311524483
95	0.4298831088
96	0.4281868205
97	0.4267335406
98	0.4249639967
99	0.4232770292
100	0.4210117273
101	0.4189783699
102	0.4170935342
103	0.4150107878
104	0.4142106192
105	0.4128386685
106	0.4117073751
107	0.4098008049
108	0.4079267358
109	0.406656819
110	0.4051478449
111	0.4033570514
112	0.4014260757
113	0.4002260931
114	0.398805973
115	0.3970541406
116	0.3954476171
117	0.3939922712
118	0.3926604464
119	0.3909474675
120	0.3894537714
121	0.3883739893
122	0.3872647677
123	0.3863639619
124	0.3848597918
125	0.383236498
126	0.3820925082
127	0.3809507045
128	0.3799060621
129	0.3790923726
130	0.3779740439
131	0.3766793688
132	0.3754475966
133	0.3741670951
134	0.3733279032
135	0.3723782288
136	0.3709394561
137	0.3695615759
138	0.3683713105
139	0.3670740495
140	0.3658174438
141	0.3643359926
142	0.3636103333
143	0.3625110651
144	0.3614869014
145	0.360221411
146	0.3590687838
147	0.3578624554
148	0.3567674392
149	0.355931473
150	0.3548449922
151	0.3536758224
152	0.3528249875
153	0.3518434292
154	0.3506189581
155	0.3497810838
156	0.3487215162
157	0.3475765057
158	0.3466325886
159	0.3456425151
160	0.3446683926
161	0.3433342439
162	0.3426386851
163	0.3415802597
164	0.3402832814
165	0.3395846341
166	0.3384202269
167	0.3373994045
168	0.3365490086
169	0.3354424148
170	0.3348796303
171	0.3343208363
172	0.3337774771
173	0.3330369961
174	0.3320758214
175	0.3314168988
176	0.3307215818
177	0.3295606763
178	0.3287867846
179	0.3278197608
180	0.3270994342
181	0.3262942208
182	0.325657508
183	0.3244887503
184	0.323432421
185	0.3225908423
186	0.321295646
187	0.3204717865
188	0.3197233664
189	0.3189585645
190	0.3179978257
191	0.3171284199
192	0.3165574642
193	0.3159389438
194	0.3156268144
195	0.3151201487
196	0.3145341284
197	0.3136852552
198	0.3128192563
199	0.3118492916
200	0.3109203128
201	0.3101913178
202	0.3089735161
203	0.3083205106
204	0.3072346225
205	0.3064466251
206	0.3060235747
207	0.3053862334
208	0.3046404192
209	0.3040265764
210	0.3033861839
211	0.302494589
212	0.3018528406
213	0.3009461667
214	0.3001058666
215	0.2994213509
216	0.298581546
217	0.2978443139
218	0.2971527945
219	0.2963466369
220	0.2953266428
221	0.2946898813
222	0.2937969014
223	0.2931256859
224	0.2923673447
225	0.2915334227
226	0.2909641033
227	0.2903195108
228	0.2897427471
229	0.2890014117
230	0.2882353025
231	0.2875689369
232	0.286942361
233	0.2860770158
234	0.2852889319
235	0.2846840056
236	0.2838479867
237	0.283427032
238	0.2827937873
239	0.2821550917
240	0.2814320369
241	0.2806983083
242	0.2801139881
243	0.2794207829
244	0.2787830402
245	0.2781924747
246	0.2775591347
247	0.277121798
248	0.2763144345
249	0.2757610429
250	0.2752275302
251	0.2747987089
252	0.2738381031
253	0.2732253091
254	0.2725867427
255	0.2717015719
256	0.2710824243
257	0.2704987039
258	0.2699176099
259	0.2692303348
260	0.268536771
261	0.2675893864
262	0.2670863219
263	0.2666421865
264	0.2659357859
265	0.2653444288
266	0.2649783244
267	0.2644721829
268	0.2638708371
269	0.2631968355
270	0.2623717622
271	0.2618152493
272	0.2611367878
273	0.2605029172
274	0.2599299562
275	0.2594053823
276	0.2588989758
277	0.2586839625
278	0.2580888324
279	0.2576909341
280	0.2572522724
281	0.2565445538
282	0.2560595533
283	0.2556408189
284	0.255396727
285	0.2549882548
286	0.2545110541
287	0.2540544914
288	0.2535881942
289	0.2531233823
290	0.252771827
291	0.2521400087
292	0.2518386027
293	0.2514336506
294	0.2508937758
295	0.2502443983
296	0.2498744234
297	0.2494969986
298	0.2487337138
299	0.2482052529
300	0.2478939107
301	0.2474658211
302	0.2469485226
303	0.246628078
304	0.2463348305
305	0.2456421628
306	0.2453381451
307	0.2448990782
308	0.2444324687
309	0.2439935413
310	0.2434739017
311	0.2429810938
312	0.242379093
313	0.2419178371
314	0.2415711802
315	0.241181067
316	0.2408705941
317	0.2404562808
318	0.2398306117
319	0.239478529
320	0.2390983988
321	0.2385733487
322	0.2382905246
323	0.2379577537
324	0.237558364
325	0.2370612022
326	0.2365982054
327	0.2358234725
328	0.2354659375
329	0.2350956025
330	0.2346369798
331	0.2342764196
332	0.2337353853
333	0.2332345111
334	0.2328677182
335	0.2326103476
336	0.2322439048
337	0.2319624638
338	0.2316501481
339	0.2313613668
340	0.2309102724
341	0.2305092602
342	0.2300276079
343	0.2297242797
344	0.2293583337
345	0.2290366767
346	0.2286490228
347	0.2281842228
348	0.2277713672
349	0.2274122366
350	0.227050526
351	0.2265972783
352	0.2260961355
353	0.2255745603
354	0.2253426854
355	0.224885049
356	0.2245625275
357	0.2242857913
358	0.223806292
359	0.2236018247
360	0.2233005866
361	0.2228730538
362	0.2224377395
363	0.2218416023
364	0.2214988622
365	0.2210552915
366	0.2208374027
367	0.2205183977
368	0.2202083175
369	0.2198395948
370	0.219633747
371	0.2192771313
372	0.2188144859
373	0.2186040456
374	0.2181915288
375	0.2177276532
376	0.217442994
377	0.2167249068
378	0.2162100033
379	0.2157676608
380	0.2152761004
381	0.2150174226
382	0.2145655514
383	0.2141385569
384	0.2136842297
385	0.2132698881
386	0.2128404684
387	0.2125669159
388	0.2122416924
389	0.2118951713
390	0.2115259877
391	0.2113369117
392	0.2108565481
393	0.210418491
394	0.2101674525
395	0.2098678287
396	0.2096166449
397	0.2092874566
398	0.2089337066
399	0.2085756601
400	0.2080246441
401	0.2077434241
402	0.2074976503
403	0.2069003053
404	0.2066445298
405	0.2064099416
406	0.2059590435
407	0.2055953073
408	0.2052665272
409	0.2048957161
410	0.2043871465
411	0.2041033693
412	0.2037733913
413	0.2033838459
414	0.2030520617
415	0.2028156274
416	0.2023787076
417	0.2020344281
418	0.201775207
419	0.201537359
420	0.2013068005
421	0.2010944154
422	0.2006793615
423	0.2002650013
424	0.1998678193
425	0.199550519
426	0.1994192877
427	0.1991815537
428	0.1988446591
429	0.1983930149
430	0.1982590375
431	0.1978453394
432	0.1975217639
433	0.1973045429
434	0.196953334
435	0.1967375372
436	0.1963120221
437	0.1961067077
438	0.1957040179
439	0.1953534573
440	0.1949833097
441	0.1946137832
442	0.1943747451
443	0.1941897754
444	0.1938370077
445	0.1934751443
446	0.1931218001
447	0.1929926765
448	0.1925367926
449	0.192276964
450	0.1919749904
451	0.1917654214
452	0.1915653712
453	0.1912433983
454	0.1909294978
455	0.1906516144
456	0.1902225657
457	0.1898583812
458	0.189638128
459	0.1894119067
460	0.1892364227
461	0.188996093
462	0.1888260026
463	0.188675472
464	0.1884460665
465	0.1883458974
466	0.188208903
467	0.187884898
468	0.1876671355
469	0.1874183955
470	0.1869794749
471	0.1866508606
472	0.1863777973
473	0.1861242605
474	0.1858703309
475	0.1856051801
476	0.1851522671
477	0.1847895856
478	0.1845180179
479	0.1842386702
480	0.1839969299
481	0.1836559144
482	0.1833673395
483	0.1831491254
484	0.1828103642
485	0.1826662655
486	0.1823850766
487	0.1821280614
488	0.1818916482
489	0.1817256594
490	0.1815442649
491	0.1812835879
492	0.1810405006
493	0.1807806698
494	0.1805816876
495	0.1803481532
496	0.1800740998
497	0.1798304594
498	0.1795433317
499	0.1791503005
500	0.1788685886
501	0.1786336012
502	0.1782896147
503	0.1781338602
504	0.1778622067
505	0.1777971914
506	0.1775061555
507	0.1771724745
508	0.1770229868
509	0.176722357
510	0.1764917246
511	0.1761922513
512	0.1760219487
513	0.1756637118
514	0.1754848027
515	0.1751767472
516	0.1748784035
517	0.1747945773
518	0.1744914574
519	0.1742919381
520	0.1740691911
521	0.1737772102
522	0.1737126029
523	0.1735550532
524	0.1731008984
525	0.17295736
526	0.1726011745
527	0.1725011719
528	0.172339819
529	0.1719528119
530	0.17145833
531	0.1712739284
532	0.1711412772
533	0.1708562763
534	0.1706578471
535	0.170393973
536	0.1701551176
537	0.1698968916
538	0.1696126122
539	0.1694072378
540	0.1692750351
541	0.1689194424
542	0.168730563
543	0.1684802579
544	0.1682467995
545	0.1680338101
546	0.1678416856
547	0.1675755151
548	0.1673756538
549	0.1671789783
550	0.1668460139
551	0.1665644424
552	0.166333761
553	0.1659551551
554	0.1657925132
555	0.1654902558
556	0.1653037242
557	0.1650784391
558	0.1648849341
559	0.1646200732
560	0.1643140489
561	0.1640235453
562	0.1639432507
563	0.1637034379
564	0.1636291155
565	0.1633726678
566	0.1632384393
567	0.1630410161
568	0.1628198439
569	0.1627042185
570	0.162522773
571	0.1622982759
572	0.1620338983
573	0.1617940202
574	0.1615673078
575	0.1612426988
576	0.1610831236
577	0.1607743796
578	0.1605722295
579	0.1601186946
580	0.1599323273
581	0.1597784895
